,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-02-07,3412.743896484375,3425.5380859375,3304.007080078125,3309.260009765625,3309.260009765625,260900.0,31.3799991607666,31.639999389648438,21.170000076293945,27.729999542236328,27.729999542236328,0.0,0.15917231142520905,0.16009733080863953,0.1591191291809082,0.15917231142520905,0.15917231142520905,0.0,2690.949951171875,2727.669921875,2681.330078125,2681.659912109375,2681.659912109375,4626570000.0
2018-02-08,3281.0458984375,3307.162109375,3225.7119140625,3262.050048828125,3262.050048828125,201300.0,27.290000915527344,36.16999816894531,24.40999984741211,33.459999084472656,33.459999084472656,0.0,0.159560889005661,0.15962201356887817,0.1576416790485382,0.15955069661140442,0.15955069661140442,0.0,2685.010009765625,2685.27001953125,2580.56005859375,2581.0,2581.0,5305440000.0
2018-02-09,3172.85107421875,3180.110107421875,3062.742919921875,3129.85107421875,3129.85107421875,256400.0,32.18000030517578,41.060001373291016,27.729999542236328,29.059999465942383,29.059999465942383,0.0,0.15807276964187622,0.1589193493127823,0.15792548656463623,0.15807028114795685,0.15807028114795685,0.0,2601.780029296875,2638.669921875,2532.68994140625,2619.550048828125,2619.550048828125,5680070000.0
2018-02-12,3128.37109375,3168.1259765625,3113.60498046875,3154.125,3154.125,153300.0,27.25,29.700000762939453,24.420000076293945,25.610000610351562,25.610000610351562,0.0,0.15903814136981964,0.1592838615179062,0.15795542299747467,0.15906091034412384,0.15906091034412384,0.0,2636.75,2672.610107421875,2622.449951171875,2656.0,2656.0,4055790000.0
2018-02-13,3176.10693359375,3219.217041015625,3176.10693359375,3184.958984375,3184.958984375,151500.0,26.940000534057617,27.81999969482422,24.469999313354492,24.969999313354492,24.969999313354492,0.0,0.15803281962871552,0.15840831398963928,0.15752744674682617,0.1580652892589569,0.1580652892589569,0.0,2646.27001953125,2668.840087890625,2637.080078125,2662.93994140625,2662.93994140625,3472870000.0
2018-02-14,3188.248046875,3203.4970703125,3171.384033203125,3199.158935546875,3199.158935546875,100300.0,23.479999542236328,25.719999313354492,18.989999771118164,19.260000228881836,19.260000228881836,0.0,0.15774114429950714,0.15823034942150116,0.15742824971675873,0.15772870182991028,0.15772870182991028,0.0,2651.2099609375,2702.10009765625,2648.8701171875,2698.6298828125,2698.6298828125,4003740000.0
2018-02-15,,,,,,,18.389999389648438,20.65999984741211,17.600000381469727,19.1299991607666,19.1299991607666,0.0,0.15758951008319855,0.1577710062265396,0.15745551884174347,0.15757957100868225,0.15757957100868225,0.0,2713.4599609375,2731.510009765625,2689.820068359375,2731.199951171875,2731.199951171875,3684910000.0
2018-02-16,,,,,,,18.739999771118164,20.989999771118164,17.440000534057617,19.459999084472656,19.459999084472656,0.0,0.15752993524074554,0.15775109827518463,0.15743817389011383,0.15754978358745575,0.15754978358745575,0.0,2727.139892578125,2754.419921875,2725.110107421875,2732.219970703125,2732.219970703125,3637460000.0
2018-02-19,,,,,,,,,,,,,0.15763920545578003,0.15790055692195892,0.15747039020061493,0.1577262282371521,0.1577262282371521,0.0,,,,,,
2018-02-20,,,,,,,20.530000686645508,21.610000610351562,19.75,20.600000381469727,20.600000381469727,0.0,0.1575448215007782,0.1577710062265396,0.15742824971675873,0.15751999616622925,0.15751999616622925,0.0,2722.989990234375,2737.60009765625,2706.760009765625,2716.260009765625,2716.260009765625,3627610000.0
2018-02-21,,,,,,,20.760000228881836,21.040000915527344,16.969999313354492,20.020000457763672,20.020000457763672,0.0,0.157524973154068,0.15781085193157196,0.15746791660785675,0.1575746089220047,0.1575746089220047,0.0,2720.530029296875,2747.75,2701.2900390625,2701.330078125,2701.330078125,3779400000.0
2018-02-22,3237.569091796875,3269.916015625,3234.114990234375,3268.55908203125,3268.55908203125,138700.0,20.56999969482422,20.610000610351562,18.06999969482422,18.719999313354492,18.719999313354492,0.0,0.1575547456741333,0.157753586769104,0.15717339515686035,0.1575646847486496,0.1575646847486496,0.0,2710.419921875,2731.260009765625,2697.77001953125,2703.9599609375,2703.9599609375,3701270000.0
2018-02-23,3275.428955078125,3294.134033203125,3258.488037109375,3289.02392578125,3289.02392578125,145800.0,17.959999084472656,18.799999237060547,16.469999313354492,16.489999771118164,16.489999771118164,0.0,0.15740594267845154,0.1579703986644745,0.15740099549293518,0.15747535228729248,0.15747535228729248,0.0,2715.800048828125,2747.760009765625,2713.739990234375,2747.300048828125,2747.300048828125,3189190000.0
2018-02-26,3307.294921875,3335.986083984375,3281.614990234375,3329.573974609375,3329.573974609375,188600.0,16.530000686645508,16.940000534057617,15.800000190734863,15.800000190734863,15.800000190734863,0.0,0.15782080590724945,0.15878307819366455,0.15778595209121704,0.15804529190063477,0.15804529190063477,0.0,2757.3701171875,2780.639892578125,2753.780029296875,2779.60009765625,2779.60009765625,3424650000.0
2018-02-27,3328.672119140625,3328.672119140625,3284.62890625,3292.068115234375,3292.068115234375,174200.0,15.829999923706055,18.979999542236328,15.289999961853027,18.59000015258789,18.59000015258789,0.0,0.15837319195270538,0.15903055667877197,0.15826541185379028,0.15837571024894714,0.15837571024894714,0.0,2780.449951171875,2789.14990234375,2744.219970703125,2744.280029296875,2744.280029296875,3745080000.0
2018-02-28,3264.05908203125,3277.83203125,3239.843994140625,3259.407958984375,3259.407958984375,151000.0,18.079999923706055,20.440000534057617,15.649999618530273,19.850000381469727,19.850000381469727,0.0,0.15829797089099884,0.15841835737228394,0.15786316990852356,0.15831051766872406,0.15831051766872406,0.0,2753.780029296875,2761.52001953125,2713.5400390625,2713.830078125,2713.830078125,4230660000.0
2018-03-01,3235.089111328125,3280.14892578125,3228.5849609375,3273.7548828125,3273.7548828125,159100.0,19.959999084472656,25.299999237060547,19.56999969482422,22.469999313354492,22.469999313354492,0.0,0.15796789526939392,0.15801283717155457,0.15726979076862335,0.15795542299747467,0.15795542299747467,0.0,2715.219970703125,2730.889892578125,2659.64990234375,2677.669921875,2677.669921875,4503970000.0
2018-03-02,3248.446044921875,3269.93798828125,3242.26708984375,3254.528076171875,3254.528076171875,150900.0,22.469999313354492,26.219999313354492,19.360000610351562,19.59000015258789,19.59000015258789,0.0,0.15728217363357544,0.1579703986644745,0.1572030484676361,0.1572970151901245,0.1572970151901245,0.0,2658.889892578125,2696.25,2647.320068359375,2691.25,2691.25,3882450000.0
2018-03-05,3255.87109375,3269.39990234375,3236.717041015625,3256.926025390625,3256.926025390625,144800.0,21.549999237060547,21.56999969482422,17.940000534057617,18.729999542236328,18.729999542236328,0.0,0.1574728786945343,0.15805278718471527,0.1574728786945343,0.1574728786945343,0.1574728786945343,0.0,2681.06005859375,2728.090087890625,2675.75,2720.93994140625,2720.93994140625,3710810000.0
2018-03-06,3266.487060546875,3290.2529296875,3243.654052734375,3289.64208984375,3289.64208984375,195400.0,18.25,19.639999389648438,17.68000030517578,18.360000610351562,18.360000610351562,0.0,0.1575150489807129,0.1584961861371994,0.15746544301509857,0.15750759840011597,0.15750759840011597,0.0,2730.179931640625,2732.080078125,2711.260009765625,2728.1201171875,2728.1201171875,3370690000.0
2018-03-07,3288.864990234375,3308.406005859375,3264.763916015625,3271.66796875,3271.66796875,168700.0,20.110000610351562,20.489999771118164,17.520000457763672,17.760000228881836,17.760000228881836,0.0,0.1584886610507965,0.1585439294576645,0.15799035131931305,0.15849366784095764,0.15849366784095764,0.0,2710.179931640625,2730.60009765625,2701.739990234375,2726.800048828125,2726.800048828125,3393270000.0
2018-03-08,3268.346923828125,3289.4970703125,3261.552001953125,3288.406005859375,3288.406005859375,149800.0,17.559999465942383,17.68000030517578,14.90999984741211,16.540000915527344,16.540000915527344,0.0,0.15811027586460114,0.15824787318706512,0.15768393874168396,0.15810276567935944,0.15810276567935944,0.0,2732.75,2740.449951171875,2722.64990234375,2738.969970703125,2738.969970703125,3212320000.0
2018-03-09,3291.426025390625,3309.715087890625,3283.55908203125,3307.166015625,3307.166015625,168400.0,16.40999984741211,16.75,13.3100004196167,14.640000343322754,14.640000343322754,0.0,0.1576889157295227,0.15823034942150116,0.15743817389011383,0.1576889157295227,0.1576889157295227,0.0,2752.909912109375,2786.570068359375,2751.5400390625,2786.570068359375,2786.570068359375,3364100000.0
2018-03-12,3319.208984375,3333.56103515625,3313.554931640625,3326.698974609375,3326.698974609375,206500.0,15.279999732971191,16.350000381469727,15.180000305175781,15.779999732971191,15.779999732971191,0.0,0.1579778790473938,0.15837067365646362,0.1578332632780075,0.15801532566547394,0.15801532566547394,0.0,2790.5400390625,2796.97998046875,2779.260009765625,2783.02001953125,2783.02001953125,3185020000.0
2018-03-13,3324.1220703125,3333.875,3307.3759765625,3310.239013671875,3310.239013671875,177100.0,15.699999809265137,16.979999542236328,15.029999732971191,16.350000381469727,16.350000381469727,0.0,0.1580178141593933,0.15843090415000916,0.1579105406999588,0.15800034999847412,0.15800034999847412,0.0,2792.31005859375,2801.89990234375,2758.679931640625,2765.31005859375,2765.31005859375,3301650000.0
2018-03-14,3298.666015625,3304.97900390625,3287.35595703125,3291.382080078125,3291.382080078125,157500.0,16.59000015258789,17.59000015258789,14.9399995803833,17.229999542236328,17.229999542236328,0.0,0.15822283923625946,0.1585690826177597,0.1581602841615677,0.15821783244609833,0.15821783244609833,0.0,2774.06005859375,2777.110107421875,2744.3798828125,2749.47998046875,2749.47998046875,3391360000.0
